osm_id,osm_type,final_name,place,population,geoid
153940523,node,Carlton,hamlet,260,
158558635,node,La Grange,town,2595,3736400
158435995,node,Teachey,village,258,3767000
158562905,node,Falcon,hamlet,258,3722620
153875748,node,Sylva,town,2578,3766500
158510749,node,Wrightsville Beach,village,2577,3775820
153847988,node,Royston,village,2576,
154103852,node,Farragut,town,25579,
158555369,node,Sneads Ferry,town,2548,3762680
154368695,node,Landrum,village,2544,
153963277,node,Statesville,city,25432,3764740
154193223,node,Mauldin,town,25409,
157551639,node,Vandemere,village,254,3769720
153976881,node,Pageland,town,2538,
153904354,node,Weaverville,town,2529,3771560
154214692,node,Talmo,hamlet,251,
157551984,node,Pittsboro,town,2501,3752660
5724566542,node,Rivermont,neighbourhood,2500,
158377229,node,Roxobel,village,250,3758180
584502830,way,Brighton,neighbourhood,250,3771860
153905024,node,Winston-Salem,city,249545,3775000
153852047,node,Mineral Springs,village,2493,3743360
154069366,node,Midway,village,2491,
158604725,node,Bath,village,249,3703840
158648884,node,Conway,city,24849,
1913188,relation,Lee County,county,24742,
153889323,node,Dillard,village,247,
158373764,node,Maxton,village,2468,3742020
158640310,node,Roberdell,village,246,3757039
154050011,node,Fort Mill,town,24521,
158424713,node,Powellsville,village,245,3753680
153980306,node,Cleveland,village,2449,
157560917,node,Grifton,village,2448,3728200
154386105,node,Dandridge,town,2445,
154327171,node,Pine Crest,village,2439,
154300613,node,Gillsville,village,243,
154086916,node,Indian Land,hamlet,24200,
158310070,node,Askewville,village,241,3702320
154101788,node,Strawberry Plains,village,2405,
153927237,node,Mountain City,town,2402,
154056360,node,Grandfather,village,24,3727324
180148,relation,Grandfather,village,24,3727324
153872437,node,South Congaree,village,2397,
157616543,node,Stem,village,239,3764940
158224745,node,McColl,village,2384,
157556256,node,Trenton,village,238,3768320
158609556,node,Timmonsville,village,2375,
158264151,node,Garner,town,23741,3725480
158647183,node,Enfield,village,2360,3721360
153837013,node,Roebuck,village,2357,
153933437,node,Judson,village,2352,
158523505,node,Leland,town,23504,3737680
158315183,node,Seagrove,village,235,3760080
153897464,node,White Pine,town,2346,
154078699,node,Walnut Hill,village,2331,
154134704,node,Taylors,town,23222,
158395670,node,Kelford,village,232,3735360
154192718,node,Sugar Hill,town,23180,
154009114,node,Kernersville,town,23123,3735600
158359186,node,Kure Beach,town,2311,3736220
153928166,node,Jacksboro,village,2306,
153960900,node,Wellford,village,2305,
154080361,node,Jonesville,town,2294,3734840
29570315,node,Easley,town,22921,
158243454,node,Loris,town,2290,
158350705,node,Richlands,town,2287,3756360
1848177,relation,Grainger County,county,22846,
158350261,node,Wilson's Mills,town,2277,3774580
158649595,node,Surf City,town,2274,3766040
158467955,node,Kinston,city,22729,3735920
158442402,node,Madison,town,2259,3740560
158252763,node,Holly Ridge,town,2255,3732180
153964520,node,Carl,village,225,
153981843,node,Silverstreet,village,225,
154167080,node,Lexington,village,225,
153842033,node,Granite Quarry,village,2241,3727440
154209954,node,Greenwood,city,22407,
154124333,node,Calhoun Falls,village,2240,
158613341,node,Sunset Beach,village,2235,3765900
158493345,node,Indian Beach,village,223,3733460
154343418,node,Tusculum,suburb,2227,
158601768,node,Cape Carteret,town,2224,3710260
153843959,node,Simpsonville,town,22234,
154036140,node,Ranlo,village,2222,3755260
153931095,node,Sky Valley,village,222,
157645397,node,Scotland Neck,village,2216,3759780
7902686999,node,Lexington,town,22157,
154164166,node,Caryville,village,2212,
158451018,node,Mesic,village,220,3742480
172042144,node,Mars Hill,town,2197,3741620
1847642,relation,Scott County,county,21950,
158581022,node,Windsor,town,2191,3774680
158648205,node,Havelock,town,21906,3730120
157568204,node,Walstonburg,village,219,3770860
154013958,node,Parrottsville,village,219,
